	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq2077	0	83	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XVIII	Symbiobacterium	thermophilum
seq2078	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus	
seq2079	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	halotolerans
seq2080	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq2081	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	
seq2082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum	
seq2083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	
seq2084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq2085	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI		
seq2086	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Sinibacillus	
seq2087	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli				
seq2088	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	AKYG1722		
seq2089	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	Bacteria	Gemmatimonadetes	S0134_terrestrial_group				
seq2090	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq2091	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
seq2092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
seq2093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1	
seq2094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	Eukaryota						
seq2095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus	
seq2096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Paraclostridium	
seq2097	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales			
seq2098	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Sediminivirga	luteola
seq2099	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	rectivirgula
seq2100	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XVIII	Symbiobacterium	
seq2101	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales			
seq2102	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq2103	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales			
seq2104	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae		
seq2105	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	
seq2106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
seq2107	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae		
seq2108	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae		
seq2109	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	42	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Thermocrispum	agreste
seq2110	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Shimazuella	
seq2111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae		
seq2112	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus	gelatini
seq2113	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq2114	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq2115	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae		
seq2116	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	
seq2117	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	
seq2118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	
seq2119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Cerasibacillus	quisquiliarum
seq2120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Ureibacillus	
seq2121	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI		
seq2122	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Stackebrandtia	
seq2123	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Shimazuella	
seq2124	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_7	
seq2125	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae		
seq2126	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq2127	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
seq2128	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Pusillimonas	
seq2129	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria				
seq2130	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter	
seq2131	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	Eukaryota						
seq2132	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae		
seq2133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	Eukaryota						
seq2134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Thermobacillus	
seq2135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Tissierella	
seq2136	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	
seq2137	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0							
seq2138	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq2139	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	Bacteria	Gemmatimonadetes	S0134_terrestrial_group				
seq2140	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum	
seq2141	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	
seq2142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae		
seq2143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq2144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Caldicoprobacteraceae	Caldicoprobacter	
seq2145	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq2146	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq2147	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
seq2148	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae		
seq2149	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	
seq2150	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq2151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales			
seq2152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101_soil_group		
seq2153	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales			
seq2154	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerosalibacter	bizertensis
seq2155	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq2156	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	
seq2157	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	
seq2158	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae		
seq2159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Fontibacillus	
seq2160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae		
seq2161	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq2162	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	Eukaryota						
seq2163	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria				
seq2164	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	
seq2165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lentibacillus	
seq2166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq2167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1	
seq2168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales			
seq2169	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Caldibacillus	
seq2170	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq2171	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
seq2172	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
seq2173	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli				
seq2174	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq2175	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	BIyi10	
seq2176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	Eukaryota						
seq2177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq2178	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	residui
seq2179	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
seq2180	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq2181	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	
seq2182	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales			
seq2183	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Caldicoprobacteraceae	Caldicoprobacter	
seq2184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae		
seq2185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum	
seq2186	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
seq2187	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq2188	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	
seq2189	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	
seq2190	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales			
seq2191	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
seq2192	0	0	0	0	0	0	0	0	0	43	0	0	0	0	93	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	
seq2193	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	thermotolerans
seq2194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae		
seq2195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XVII	Thermaerobacter	
seq2196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Herbinix	
seq2197	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	
seq2198	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq2199	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Tuberibacillus	
seq2200	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	
seq2201	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Tepidimicrobium	
seq2202	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae		
seq2203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	infernus
seq2204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	Bacteria	Firmicutes	Bacilli	Bacillales			
seq2205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales			
seq2206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae		
seq2207	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Pelagibacterium	
seq2208	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
seq2209	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	
seq2210	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq2211	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Haloactinopolyspora	
seq2212	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	Bacteria	Firmicutes					
seq2213	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriales_Incertae_Sedis	Tomitella	
seq2214	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae		
seq2215	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Bogoriellaceae	Georgenia	
seq2216	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	49	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	viridis
seq2217	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Caldicoprobacteraceae	Caldicoprobacter	
seq2218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	
seq2219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	
seq2220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	
seq2221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae		
seq2223	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Wohlfahrtiimonadaceae	Ignatzschineria	indica
seq2224	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Ammoniphilus	
seq2225	0	0	0	0	0	0	0	34	0	98	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XVIII	Symbiobacterium	thermophilum
seq2226	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq2227	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales			
seq2228	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Longispora	
seq2229	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq2230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	Eukaryota						
seq2231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales			
seq2232	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_7	
seq2233	0	0	0	0	49	0	0	0	0	82	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq2234	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales			
seq2235	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	
seq2236	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Parapedobacter	
seq2237	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Shimazuella	
seq2238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Garciella	
seq2239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq2240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Bhargavaea	
seq2241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	Bacteria	Firmicutes					
seq2242	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Wohlfahrtiimonadaceae	Ignatzschineria	indica
seq2243	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq2244	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq2245	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Ammoniibacillus	agariperforans
seq2246	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Marinactinospora	endophytica
seq2247	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1	
seq2248	0	0	0	0	0	0	0	0	0	49	0	0	0	0	81	0	0	Bacteria	Acidobacteria	Acidobacteriia	Subgroup_2			
seq2249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	Eukaryota						
seq2250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Solimonas	
