	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq1521	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	
seq1522	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus	
seq1523	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Thermobacillus	
seq1524	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter	
seq1525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
seq1526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae		
seq1527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Caldicoprobacteraceae	Caldicoprobacter	
seq1528	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	
seq1529	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		
seq1530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus	
seq1531	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
seq1532	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Persicitalea	
seq1533	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq1534	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus	bavariensis
seq1535	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Chelativorans	composti
seq1536	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq1537	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1538	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	
seq1539	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	Bacteria	Gemmatimonadetes	S0134_terrestrial_group				
seq1540	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1541	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Cerasibacillus	quisquiliarum
